date,nifty_close,midcap_close,smallcap_close,india_vix,usdinr,gilt10y,fii_net_cr,dii_net_cr,sip_total_cr,regime_true
2007-09-17,4494.64990234375,8009.756891527193,3234.3793038415442,20.350298834771547,45.00056334936307,7.20034832615088,591.7021626718494,301.5593416480242,3026.3086331560016,2
2007-09-18,4546.2001953125,8077.776554875046,3311.302682145754,19.76485348400816,44.999558355447796,7.200811502713735,-112.58828642271664,472.9552992674,2987.1481461581207,2
2007-09-19,4732.35009765625,8475.327946937909,3485.5834733487045,21.089354794344224,45.00032479041827,7.202827795028947,257.6863327902397,336.0710515377755,3092.4761443919206,2
2007-09-20,4747.5498046875,8537.384253459511,3508.764621486241,21.662694102038266,45.000991989437324,7.205339085938789,9.58506004265331,837.3044648473449,2889.188689359168,2
2007-09-21,4837.5498046875,8649.516197283638,3606.585882544924,20.95489920824921,45.003457685083916,7.207025079009734,-303.24544555002353,434.87924121131863,2954.1281894768213,2
2007-09-24,4932.2001953125,8791.778454600193,3664.5245831856555,19.393613293240495,44.99922255531064,7.208098853225081,-919.9105415723578,402.6261844944996,3065.407478054768,2
2007-09-25,4938.85009765625,8809.330721561331,3684.6716392863377,21.866660041728,44.99951549644013,7.2098887324799215,500.59693083284765,262.5274002937257,2976.9697137595244,2
2007-09-26,4940.5,8801.427914671996,3669.94932028973,18.2538744473795,45.00048832825476,7.212705052653748,-569.6408757124491,245.21091085835084,2978.3869648557093,2
2007-09-27,5000.5498046875,8919.294285404638,3730.9923431389266,17.358956013261,44.99699221776319,7.2155215531690775,403.10836456710774,471.3166224471481,3012.003564801619,2
2007-09-28,5021.35009765625,8929.676902348541,3744.5481582363213,13.6094266308784,44.99345497049949,7.219196091033189,64.7230517049004,645.8762378118143,2997.611551250902,2
2007-10-01,5068.9501953125,9055.074337538463,3798.794037041551,19.85971809652569,44.99296084524254,7.224026188448744,-540.4051140989436,194.63257062697355,3089.385149430739,2
2007-10-03,5210.7998046875,9367.243710188008,3931.3115731748426,18.35690712101313,44.993586418092356,7.227478759556495,-25.200655272418743,437.9737831528386,3110.8371594953524,2
2007-10-04,5208.64990234375,9365.466709724993,3857.5791332537797,20.7955089521507,44.99422255616752,7.230069900522208,703.1644245141318,455.25084730573445,3066.025364066517,2
2007-10-05,5185.85009765625,9362.600741797592,3841.490390068777,16.057545211911265,44.993153510723495,7.234636787935148,464.2610323455084,507.5090549126831,3130.333735500966,2
2007-10-08,5085.10009765625,9181.792930185895,3767.4556978219216,18.705642898201,44.99196150694459,7.235821271849299,-355.08522245377947,-112.24892055821556,2985.5754854061965,2
2007-10-09,5327.25,9642.368459871643,3999.697996388055,20.94053981172897,44.991375977980155,7.2365086977244175,-434.79230327387285,122.58019008670357,3080.442483889292,2
2007-10-10,5441.4501953125,9887.016773597477,4101.397328646981,17.94032770730204,44.9928715432642,7.238388081110578,-109.91678507357122,-9.75335603657021,3163.8820274366735,2
2007-10-11,5524.85009765625,10016.626732049144,4218.89325570468,20.818513497225723,44.99720540628458,7.241966202369263,-216.2054915879346,409.86532799552367,3146.166589238915,2
2007-10-12,5428.25,9860.403258820517,4139.021820979796,18.885954809863918,44.99114421562525,7.244900512638782,329.894954257092,129.70798903290665,3179.7187199227706,2
2007-10-15,5670.39990234375,10354.254366080992,4378.107561100432,19.934383380440003,44.99361322198915,7.246537744350518,145.83565456872174,251.12766447197563,3059.4452726190275,2
2007-10-16,5668.0498046875,10341.884859094413,4403.440550328603,21.190316012833712,44.99387976700557,7.248575999825998,-826.8966406113689,41.71584282674621,3157.916991570261,2
2007-10-17,5559.2998046875,10098.362476838676,4312.586950444874,21.905594046230625,44.99605693384887,7.250099650124612,33.4701021695646,279.02903884965923,3079.5718509080125,2
2007-10-18,5351.0,9738.11786768159,4100.821761893337,20.184984822641216,45.00021356386065,7.2516230484975255,-221.63638434694724,62.768919634369354,3148.1675417675265,2
2007-10-19,5215.2998046875,9464.367744082756,3920.1331500061274,18.37197941024251,44.998548185633204,7.255938775235152,-135.1567455887734,627.3725326098852,3197.8858789821293,2
2007-10-22,5184.0,9385.997802108506,3880.876586856332,19.0839222752407,45.00198109966689,7.258559760606634,-50.42279429573642,543.7683909386733,3071.6692512355908,2
2007-10-23,5473.7001953125,9967.026820050007,4169.044847085744,21.273910726173916,44.99881897107391,7.2630935036108015,329.4916021106407,445.06878444230586,3010.2572422294456,2
2007-10-24,5496.14990234375,10033.435623790023,4180.747382928581,17.957492833034788,44.99980176877221,7.264967379923047,241.11718541840833,309.41742109582947,3247.049150776013,2
2007-10-25,5568.9501953125,10195.58835371665,4268.198867982634,19.64386680671959,44.9996742184642,7.26822211460224,-449.8970962749182,-211.3060298908175,3167.012768220941,2
